"country","year","change_msfi","ad_sdg2_aid_lag","ad_sdg2_aid","ad_exc2_aid_gdp","infl","food_prod","food_imp_net_gdp","log_gdp","log_gdp_pc","gdp_pc_grw","gov_score","e_pt_coup","disast_affect","fight","prec_z","net_dens"
"Ecuador",2017,-0.1256038647343,22.1949702777796,88.3963715937807,0.779426596424081,0.417335588666825,95.69,1.95332837104441,25.3512211739167,8.7204849072871,4.33701991894264,-0.578315085172652,0,1e-20,0,1.2673054039686,0.33
"Egypt",2017,-0.0755395683453237,130.296878440514,110.456586826223,0.674874887890741,29.5066083940039,100.98,3.68900165302523,26.6039471698557,8.16553077647212,2.12874338059446,-0.707991778850556,0,1e-20,1,-0.911346615944025,0.13
"Ethiopia",2017,-0.0373665480427045,762.340137005222,575.212114641533,2.79755588372135,10.6871150284238,106.31,2.74234810032629,25.0728021540506,6.57332917624901,6.62278907050467,-0.855932772159578,0,16.1378982782545,1,-0.53412708523882,0.12
"Georgia",2017,-0.0628930817610062,39.7953435961211,48.3587266291419,4.8134307197796,6.03531725272117,89.17,6.72232043202328,23.5303577627952,8.39897423504682,5.14582677562736,0.543219077587128,0,1e-20,0,-0.369513332630878,0.3
"Ghana",2017,-0.0652741514360313,122.420467796552,111.122335998269,1.60465304806548,12.3719215507048,107.89,4.46943364035959,24.7346698410401,7.51058047794044,5.73907811296539,0.015580405294895,0,13.8155105579643,0,-0.137867378507942,0.147894952836251
"Gambia",2017,-0.00602434790744877,13.2361391111102,26.3455362866644,15.8037436004017,8.03418974545911,80.78,13.2868151420881,21.110373658938,6.42726609791906,2.00630767513326,-0.59817960858345,0,9.90348755253613,0,-0.67427842234647,0.17
"Guatemala",2017,-0.0351288056206089,78.5750872440276,261.938655998667,0.517317174441495,4.42453655182546,100.06,4.06197903810363,24.9101562996642,8.31660826591572,1.41564884120322,-0.641055405139922,0,10.6586466274989,0,0.433768115847202,0.16
"Honduras",2017,0.00480769230769238,74.3012951131331,36.311691452436,2.08594428396378,3.93436084442044,114.45,6.76666894977975,23.8523095663934,7.77224376994209,3.03458083540451,-0.644758611917496,0,10.7793728697752,0,1.68766543606295,0.15
"Indonesia",2017,-0.216666666666667,137.140538910737,174.006168457504,0.477155439196821,3.80879806953157,110,2.1163536733435,27.5797506572424,8.18640318825381,4.0176256075747,-0.103057389706373,0,12.7363478931175,0,1.47684896102625,0.3
"Iran",2017,0.0562500000000001,1.82369542518554,0.833002592661837,0.0240519916454745,8.04492437660278,95.3,2.35677789514552,26.8467459756587,8.59442381412959,1.30070500404484,-0.86031492650509,0,7.60090245954208,0,-0.49406397806881,0.13
